Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
Mai-12,30.8,30.9,16,4.2,4.6,5.1,4.7,0.2,1.5,1.9
12-Apr,30.5,29.4,17.3,4.5,5.1,5.1,5.2,0.2,1.4,1.4
Mars-12,32.9,27.9,16.3,4.5,5.3,5.4,4.6,0.2,1.3,1.7
12-Feb,34.4,27.9,14.4,4.8,5.1,5.1,5.3,0,1.3,1.6
12-Jan,34.7,29.3,13.7,4.1,5,5.3,4.9,0,1.7,1.3
Desember-11,32.7,29.6,15,4.2,5.2,5.4,5.1,0,1.3,1.6
11-Nov,32.7,29.1,15.2,4.4,5.3,5.1,5.2,0,1.5,1.5
Oktober-11,33.9,29.3,13.8,4.5,4.6,5.3,4.9,0,1.7,1.8
11-Sep,34,27.1,16.5,4.3,5.2,4.7,5.4,0,1.6,1.4
11-Aug,38.4,22.5,17.2,5.3,4.5,5.1,4.1,0,1.5,1.2
Juli-11,31.2,27,19.7,5.5,4.5,4.9,4.4,0,1.3,1.1
Juni-11,29.1,29,19.1,5.2,5,5.4,4.3,0,1.6,1.2
Mai-11,29.9,27.3,19.2,5.6,5.1,4.9,5.3,0,1.6,1.1
11-Apr,29.3,27,18.9,5.8,5.3,5,5.3,0,1.6,1.7
Mars-11,28.2,27.2,22.2,6,4.9,4.4,4.1,0,1.6,1.3
11-Feb,27.7,26.2,23.2,5.7,4.9,4.8,4.8,0,1.5,1.2
11-Jan,27.5,26.3,23.8,5.5,4.9,4.6,4.3,0,1.5,1.5
Desember-10,26.1,26.1,25.3,5.8,4.9,4.7,4.2,0,1.5,1.4
10-Nov,27.7,26.2,24.1,5.5,4.9,4.6,4.4,0,1.5,1
Oktober-10,28.9,26.1,23.6,5.4,4.7,4.3,4.1,0,1.6,1.3
10-Sep,27.5,27.2,22.9,5.5,5,4.6,4.5,0,1.6,1.2
10-Aug,26.6,27.1,22.8,5.6,5,5.3,4.6,0,1.8,1.2
Juli-10,29,25.5,22.3,5.6,5.4,5.1,4.3,0,1.4,1.5
Juni-10,28.7,24.9,23.5,6.1,5.3,4.9,3.8,0,1.5,1.3
Mai-10,30.2,24.3,22.6,5.9,5.4,4.9,4.1,0,1.3,1.3
10-Apr,29.8,23.6,23.9,6.2,5.2,5,3.8,0,1.3,0.6
Mars-10,31.1,22.2,23.7,6.2,5.2,4.8,4.1,0,1.6,0.3
10-Feb,32.6,22.4,22.7,6.5,5.1,4.3,3.9,0,1.5,0
10-Jan,31.3,21.5,23.4,6.5,5.5,5.3,4,0,1.5,0
Desember-09,30.7,21.5,23.1,7.2,5.4,5.4,4.1,0,1.8,0
9-Nov,34,20.1,21.9,6,5.8,5.8,4.1,0,1.4,0
Oktober-09,35.3,19.3,22.8,6.1,5.4,4.4,4.1,0,0,0
9-Sep,32.6,16.2,23,7.1,6,6.4,5.3,0,0,0
9-Aug,32.3,14.1,25.6,7.5,5.9,6.1,5.3,0,0,0
Juli-09,33.5,13.1,27.5,7.1,5.2,6,4.9,0,0,0
Juni-09,32.8,13.6,26.1,7.2,5.7,5.9,5.6,0,0,0
Mai-09,32.9,13.8,26.4,7.5,5,6,5.4,0,0,0
9-Apr,32.4,13.9,27.2,7.1,5.8,6,4.9,0,0,0
Mars-09,32.8,13.8,27.3,7,5.5,6.2,5,0,0,0
9-Feb,34,15.2,23.9,7.1,5,5.9,6.1,0,0,0
9-Jan,33.9,16.1,23.2,7.5,5.5,6,4.8,0,0,0
Desember-08,30.7,17.4,23.7,7.8,5.7,6.3,5.5,0,0.4,0
8-Nov,31.4,15.9,24.2,7.8,5.5,6.6,5.8,0,1.4,0
Oktober-08,30.6,16.1,26.7,7.3,5.3,5.6,5.5,0,1.2,0
8-Sep,28.9,15.2,29.9,6.3,5,5.7,5.9,0,1.5,0
8-Aug,26.6,16.2,30.9,6.7,5.2,5.5,6,0,1.7,0
Juli-08,26.9,17.2,30.2,6.6,4.7,6.1,5.4,0,1.9,0
Juni-08,26,17.6,28.9,6.9,5.3,6.1,5.9,0,1.8,0
Mai-08,28.9,17.8,25.9,6.7,5.7,6.2,6.2,0,1.4,0
8-Apr,29,16.9,25.4,6.5,5.5,7,6.8,0,1.2,0
Mars-08,28.7,18.1,25.2,7,5.6,6.1,6.3,0,1.1,0
8-Feb,29,17.3,25.2,6.7,5.9,6.3,6.6,0,1.3,0
8-Jan,29.3,17.2,23.9,7.4,6.1,6.4,6.5,0,1.3,0
