Mnd,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt,Andre,Ap_var,Hoyre_var,Frp_var,SV_var,SP_var,KrF_var,Venstre_var,MDG_var,Rodt_var,Andre_var,Ap_skandale,Hoyre_skandale,Frp_skandale,SV_skandale,Sp_skandale,KrF_skandale,Venstre_skandale,MDG_skandale,Rodt_skandale,Andre_skandale,AP_skandale_lag3,AP_skandale_lag6,Hoyre_skandale_lag3,Hoyre_skandale_lag6,Frp_skandale_lag3,Frp_skandale_lag6,SV_skandale_lag3,SV_skandale_lag6,Sp_skandale_lag3,Sp_skandale_lag6,KrF_skandale_lag3,KrF_skandale_lag6,Venstre_skandale_lag3,Venstre_skandale_lag6,MDG_skandale_lag3,MDG_skandale_lag6,Rodt_skandale_lag3,Rodt_skandale_lag6,Andre_skandale_lag3,Andre_skandale_lag6,Ap_reg,Hoyre_reg,Frp_reg,SV_reg,Sp_reg,KrF_reg,Venstre_reg,MDG_reg,Rodt_reg,Andre_reg,AP_reg_lag3,AP_reg_lag6,H_reg_lag3,H_reg_lag6,FRP_reg_lag3,FRP_reg_lag6,SV_reg_lag3,SV_reg_lag6,SP_reg_lag3,SP_reg_lag6,KRF_reg_lag3,KRF_reg_lag6,Venstre_reg_lag3,Venstre_reg_lag6,MDG_reg_lag3,MDG_reg_lag6,Rodt_reg_lag3,MDG_reg_lag6,Andre_reg_lag3,Andre_reg_lag6,ledighet,ledig_trend3,ledig_trend6,styringsrente,styringsrente_trend3,styringsrente_trend6
9/30/2010,27.5,27.2,22.9,5.5,5,4.6,4.5,0,1.6,1.2,26.88839896,27.02605959,23.52103149,5.58245021,4.773517116,5.072901133,4.136852297,0.192689192,1.548468053,1.243737997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.9,-0.033,-0.016666667,2,0,0.041666667
10/31/2010,28.9,26.1,23.6,5.4,4.7,4.3,4.1,0,1.6,1.3,28.11307572,26.80475224,23.22484007,5.618654068,4.497258382,4.920846712,4.452514643,0,1.488839126,1.287823626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.7,-0.067,-0.05,2,0,0.006666667
11/30/2010,27.7,26.2,24.1,5.5,4.9,4.6,4.4,0,1.5,1,28.2479003,26.28209332,23.5528171,5.771091573,4.020834238,4.804688449,4.378182194,0.041809364,1.828568362,1.171211706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.6,-0.1,-0.066666667,2,0,0
12/31/2010,26.1,26.1,25.3,5.8,4.9,4.7,4.2,0,1.5,1.4,27.12695885,26.54170168,23.56709102,5.728076881,5.064218931,4.671064082,4.486946661,0.099761263,1.487791852,1.17494602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.5,-0.067,-0.083333333,2,0,0
1/31/2011,27.5,26.3,23.8,5.5,4.9,4.6,4.3,0,1.5,1.5,25.73968241,25.98826678,25.55415901,5.719782543,5.200885226,4.535227909,4.219627426,0.043457262,1.625360168,1.276879946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.5,-0.033,-0.066666667,2,0,0
2/28/2011,27.7,26.2,23.2,5.7,4.9,4.8,4.8,0,1.5,1.2,28.12198296,26.19736917,23.20116827,5.532146506,4.952581809,4.584801555,4.432245483,0,1.343470233,1.565600555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.5,0,-0.066666667,2,0,0
3/31/2011,28.2,27.2,22.2,6,4.9,4.4,4.1,0,1.6,1.3,27.48378334,26.75672277,23.48827586,5.60046341,4.757407338,4.772779399,4.476444085,0,1.508610207,1.215181291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.5,0,-0.033333333,2,0,0
4/30/2011,29.3,27,18.9,5.8,5.3,5,5.3,0,1.6,1.7,28.44135005,27.39762733,21.91222248,5.926314007,4.693396408,4.641862673,4.253617601,0.028709877,1.396319203,1.330916404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.5,0,-0.016666667,2,0,0
5/31/2011,29.9,27.3,19.2,5.6,5.1,4.9,5.3,0,1.6,1.1,29.31017915,27.21345232,18.66798832,6.254279516,5.091978781,4.977789384,5.047871037,0.063960103,1.520204205,1.663105626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.6,0.033,0.016666667,2.14,0.046666667,0.023333333
6/30/2011,29.1,29,19.1,5.2,5,5.4,4.3,0,1.6,1.2,29.20737273,27.57804974,19.99165965,5.595764358,4.951142049,4.990153575,4.859317909,0.003687033,1.716955504,1.128234105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.6,0.033,0.016666667,2.25,0.083333333,0.041666667
