Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2019-02-28;28.0;22.9;11.3;7.7;13.2;3.5;2.6;3.4;5.5;2.0
2019-03-31;26.7;24.3;11.3;7.5;13.7;3.4;2.2;4.0;5.0;1.9
2019-04-30;26.2;22.5;10.6;7.5;15.9;3.5;2.9;3.9;4.5;2.6
2019-05-31;26.0;21.7;12.2;7.1;14.5;3.4;2.8;4.2;5.1;3.1
2019-06-30;25.3;22.0;10.4;6.8;14.7;3.2;2.7;5.4;5.6;3.9
2019-07-31;25.0;21.6;8.2;7.7;14.2;3.9;4.0;5.2;5.0;5.5
2019-08-31;24.0;22.3;10.2;7.2;15.2;3.7;2.9;5.9;5.1;3.7
2019-09-30;23.0;21.3;11.5;7.6;16.3;3.6;3.0;6.7;4.1;3.1
2019-10-31;23.6;21.0;9.8;7.3;17.3;3.6;3.4;6.7;4.6;2.7
2019-11-30;22.5;21.0;9.8;7.3;19.2;3.3;3.2;6.3;4.9;2.6
2019-12-31;23.2;21.2;10.7;7.6;17.8;3.4;3.1;5.6;5.1;2.4
2020-01-31;25.5;20.5;12.8;7.2;15.9;3.5;2.7;5.1;4.6;2.2
2020-02-29;24.1;19.0;15.0;6.9;15.2;4.0;3.8;5.5;4.4;1.9
2020-03-31;24.6;20.5;12.9;7.7;16.6;3.3;3.1;5.4;4.3;1.7
2020-04-30;24.9;26.0;11.5;7.3;14.4;3.6;3.0;4.5;3.6;1.3
2020-05-31;25.9;26.7;9.9;6.7;14.0;3.4;3.1;5.0;4.0;1.5
2020-06-30;24.2;25.0;11.6;7.2;14.1;3.6;3.0;5.2;4.6;1.7
2020-07-31;24.1;25.8;10.6;7.5;13.2;3.9;3.2;5.1;5.0;1.8
2020-08-31;24.4;25.4;11.0;7.3;14.0;3.8;2.9;5.1;4.3;1.8
2020-09-30;22.9;24.7;12.6;7.8;14.1;3.7;3.2;4.7;4.1;2.2
2020-10-31;21.4;24.5;12.7;7.0;16.3;3.6;3.5;4.4;4.4;2.1
2020-11-30;21.5;23.2;12.1;7.2;18.6;3.3;3.4;4.3;4.1;2.3
2020-12-31;21.2;22.3;11.0;7.5;21.0;3.4;3.3;4.1;4.1;2.0
2021-01-31;26.4;24.7;9.0;7.1;14.7;3.7;3.4;4.1;3.3;3.5
2021-02-28;25.4;24.6;9.3;7.4;15.2;3.9;3.3;4.3;3.5;3.1
2021-03-31;24.4;24.3;9.3;7.8;16.2;3.7;3.5;4.0;3.6;3.2
2021-04-30;23.6;23.5;9.9;8.0;17.5;3.4;2.9;4.3;3.8;3.0
2021-05-31;24.0;22.6;10.3;8.0;16.5;3.8;3.3;4.1;4.3;3.0
2021-06-30;24.5;21.6;10.2;7.8;17.5;3.3;2.9;4.1;5.2;3.0
2021-07-31;24.3;20.0;9.9;7.7;17.6;3.2;3.5;4.5;5.6;3.9
2021-08-31;24.0;20.1;10.3;8.8;14.1;3.6;4.1;5.5;5.2;4.4
2021-09-30;24.4;19.4;11.3;9.2;12.9;4.0;4.7;4.9;5.4;3.8
2021-10-31;26.6;20.7;11.1;8.7;13.3;3.5;4.6;3.7;4.9;3.0
2021-11-30;26.1;21.3;11.2;8.8;12.7;3.2;4.7;3.9;5.4;2.9
2021-12-31;23.0;24.2;11.7;9.5;10.9;3.2;5.0;3.4;5.9;3.4
2022-01-31;21.9;25.3;11.9;9.2;9.7;3.3;4.3;4.0;6.9;3.5
2022-02-28;21.9;25.5;11.5;9.2;8.3;3.2;4.4;3.1;9.1;3.7
2022-03-31;22.8;26.6;11.5;7.8;8.3;3.5;4.6;3.7;7.6;3.8
2022-04-30;23.6;27.5;12.5;8.0;7.3;3.3;4.8;3.4;6.1;3.5
2022-05-31;22.7;27.3;12.9;8.1;7.1;3.7;4.8;3.4;6.3;3.7
2022-06-30;21.5;27.1;14.3;9.1;7.2;3.2;4.5;3.5;6.0;3.7
2022-07-31;21.3;29.2;13.6;9.2;6.2;3.2;4.2;3.3;6.2;4.0
2022-08-31;20.6;28.7;13.8;8.6;6.4;3.7;4.3;3.6;6.7;3.9
2022-09-30;20.0;28.8;14.0;8.1;5.9;3.5;4.7;3.5;7.5;4.2
2022-10-31;19.6;29.2;13.5;9.1;6.0;3.5;4.2;3.8;6.6;4.6
2022-11-30;18.1;30.9;13.4;8.5;5.2;3.6;4.5;3.8;6.7;5.1
2022-12-31;17.8;32.4;12.0;9.3;5.4;3.2;4.7;3.7;7.1;4.4
2023-01-31;19.1;30.9;12.9;8.6;6.1;3.2;4.3;3.6;6.3;5.0
2023-02-28;18.5;31.7;12.7;8.6;5.7;3.6;4.4;3.4;6.7;4.8
2023-03-31;17.1;32.5;12.1;9.1;6.1;3.8;4.8;3.4;6.1;4.9
2023-04-30;18.2;31.5;12.2;8.6;5.7;3.7;4.9;3.9;5.9;5.5
2023-05-31;18.7;31.7;12.1;8.5;6.2;4.0;4.5;3.7;5.8;4.9
2023-06-30;18.6;31.4;12.4;8.2;6.2;3.8;4.5;3.6;6.2;5.3
2023-07-31;19.7;29.8;14.2;7.4;7.0;3.5;4.8;3.4;5.4;5.2
2023-08-31;18.5;30.4;12.7;8.8;6.5;3.5;4.9;3.9;5.0;6.0
2023-09-30;19.7;28.2;12.9;8.7;6.3;3.6;5.4;4.0;5.1;5.7
2023-10-31;20.4;25.8;13.0;9.4;6.2;3.9;5.7;3.7;5.3;6.7
2023-11-30;19.3;26.3;13.0;9.9;5.7;4.1;6.2;4.1;5.2;6.5
2023-12-31;18.9;25.6;13.4;10.9;6.8;3.8;5.4;3.6;5.4;6.3
2024-01-31;19.3;25.8;13.1;10.6;6.8;4.0;5.9;3.4;5.2;6.0
2024-02-29;19.0;27.7;13.8;9.9;6.2;4.0;5.8;3.6;5.2;4.6
2024-03-31;18.2;26.5;14.8;9.9;6.5;3.8;5.9;4.0;5.8;4.6
2024-04-30;19.5;26.4;15.2;10.0;6.2;3.8;5.5;3.6;5.5;4.2
2024-05-31;19.9;25.2;17.1;9.3;6.1;4.1;5.9;3.7;5.0;3.8
2024-06-30;19.7;24.2;17.2;9.7;6.3;3.5;5.9;3.4;6.6;3.5
2024-07-31;21.1;24.9;16.5;9.5;4.7;3.9;5.6;3.7;5.4;4.7
2024-08-31;20.7;25.2;16.4;9.1;6.2;3.9;5.2;3.6;5.7;4.2
2024-09-30;20.6;24.6;18.9;9.0;6.0;2.9;5.1;3.3;5.6;3.9
2024-10-31;19.9;23.4;20.3;8.8;5.8;3.3;5.5;3.5;5.9;3.7
2024-11-30;18.7;22.4;22.0;9.0;6.6;3.1;5.1;3.4;5.9;3.8
2024-12-31;17.2;21.2;25.4;9.4;5.3;3.9;5.3;3.1;5.8;3.5
2025-01-31;19.1;22.2;24.1;8.0;5.9;3.4;4.5;3.3;5.6;3.9
2025-02-28;24.8;18.4;24.6;7.4;6.6;3.0;4.2;2.4;5.4;3.2
2025-03-31;28.1;18.8;22.7;7.2;4.9;3.1;4.3;2.7;4.6;3.4
2025-04-30;28.1;19.8;20.0;6.3;6.7;3.3;3.9;3.1;4.8;3.9
