,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
341,49,29,41,11,12,3,3,7,11
342,50,26,39,12,15,3,9,8,11
343,51,28,40,12,12,3,8,8,11
344,50,26,41,12,13,3,8,3,11
345,46,25,41,11,16,7,9,3,11
346,47,27,43,11,13,3,3,3,12
347,56,23,39,12,11,3,8,3,11
348,43,28,40,14,15,3,9,3,12
349,47,31,38,12,11,3,11,7,11
350,45,28,43,13,13,3,7,8,12
351,44,31,37,14,14,3,9,8,12
352,49,24,42,13,15,3,8,3,12
353,56,24,35,13,14,3,7,3,12
354,51,24,38,13,13,7,9,7,12
355,49,28,38,13,12,7,9,3,12
356,49,27,40,12,14,3,3,8,11
357,47,27,39,12,14,3,8,8,13
358,44,25,43,14,11,8,8,8,13
359,50,24,41,13,13,7,8,8,11
360,55,30,36,12,8,7,8,9,10
361,49,31,37,11,11,3,9,3,12
362,48,28,42,12,11,3,3,8,11
363,49,25,41,12,14,3,8,8,12
364,50,29,38,12,11,3,7,8,12
365,50,24,39,13,12,3,8,8,13
366,49,27,37,11,14,3,8,8,12
367,48,31,37,12,15,3,3,7,13
368,48,33,32,13,11,8,8,8,12
369,47,30,40,13,9,3,8,8,12
370,48,26,42,13,12,3,7,8,11
371,52,26,36,13,12,3,9,8,12
372,48,28,42,12,12,3,8,7,11
373,51,23,38,13,14,3,9,3,13
374,52,26,39,13,11,3,3,7,12
375,48,26,41,13,12,3,10,7,11
376,46,29,40,13,12,3,8,7,12
377,50,27,37,13,15,3,8,3,12
378,45,30,38,14,14,8,3,7,12
379,49,22,37,14,15,8,8,9,13
380,51,29,36,12,12,3,8,8,11
381,45,27,41,13,12,8,9,8,12
382,54,26,33,14,14,3,8,8,11
383,46,26,45,11,13,3,9,3,12
384,53,25,39,12,11,3,8,8,12
385,43,31,44,14,10,3,9,3,11
386,56,26,38,11,11,3,8,7,11
387,44,29,40,14,14,2,8,8,12
388,50,30,40,11,13,3,3,3,11
389,45,32,40,13,11,3,8,7,11
390,47,27,42,13,12,7,8,8,11
391,48,28,39,12,11,7,8,3,13
392,51,26,41,12,11,3,8,3,12
393,52,24,38,14,12,8,9,7,11
394,48,29,40,13,11,3,7,8,11
395,50,29,38,13,12,3,3,3,12
396,50,27,37,13,14,3,8,8,13
397,48,28,42,12,12,3,8,3,11
398,47,28,38,12,14,3,8,7,11
399,47,29,42,11,13,3,8,3,13
400,48,26,39,13,14,3,8,9,11
401,47,28,41,12,13,8,8,8,10
402,52,23,38,13,12,7,9,8,13
403,52,28,36,13,12,3,8,3,10
404,51,27,39,13,9,8,9,8,12
405,53,30,37,13,9,3,9,3,11
406,48,27,42,12,11,3,8,9,12
407,47,26,41,12,15,3,9,3,12
408,47,30,39,14,12,3,9,3,12
409,47,29,40,13,13,8,9,8,10
410,52,29,38,12,13,3,3,8,11
411,45,30,41,12,10,3,8,8,13
412,50,29,37,12,11,8,7,8,12
413,44,27,40,13,15,3,8,8,12
414,46,28,40,12,15,3,9,8,12
415,53,23,40,13,13,3,9,7,11
416,52,28,37,13,13,3,8,3,11
417,50,32,36,12,12,3,8,7,10
418,45,29,43,12,12,3,9,3,11
419,53,22,40,12,14,3,9,8,11
420,47,32,39,13,13,3,8,3,11
421,49,28,37,12,14,7,8,3,12
422,54,22,37,13,15,3,8,3,12
423,51,29,37,13,14,3,8,3,12
424,53,27,39,12,11,3,3,3,12
425,49,27,39,14,10,3,9,8,11
426,49,24,42,13,13,8,3,8,12
427,52,26,36,12,13,7,9,8,11
428,54,27,38,12,12,3,3,3,11
429,48,25,40,15,13,3,8,8,10
430,50,25,38,12,14,3,9,7,12
431,49,27,40,13,10,8,9,3,12
432,47,29,40,12,12,3,3,3,12
433,45,29,41,13,12,2,7,3,14
434,50,27,40,13,13,2,8,8,11
435,49,27,36,12,16,3,8,8,12
436,48,27,41,11,12,3,9,3,12
437,48,26,38,14,13,3,8,8,13
438,51,30,35,13,14,3,8,2,13
439,52,25,43,12,11,3,3,3,11
440,49,25,39,12,15,3,8,9,11
441,49,29,40,14,9,7,8,8,10
442,46,28,40,12,11,3,8,8,13
443,49,27,42,12,11,3,3,3,13
444,52,25,41,12,14,3,3,3,12
445,49,27,40,12,12,3,8,8,11
446,45,30,38,13,14,3,8,3,14
447,50,28,38,12,13,3,8,7,12
448,49,25,38,11,14,8,9,8,12
449,47,25,43,14,13,3,3,3,12
450,49,29,38,13,10,3,8,8,12
451,48,28,39,12,14,3,9,8,10
452,50,25,40,13,13,3,8,7,11
453,48,29,43,13,8,3,8,8,12
454,48,28,42,10,12,8,8,8,11
455,50,25,38,14,14,3,8,3,12
456,55,27,36,12,15,3,7,3,10
457,52,27,39,12,13,2,3,3,12
458,55,28,37,10,10,3,8,7,12
459,47,29,37,14,14,3,9,7,11
460,45,25,39,12,15,3,9,9,13
461,53,26,36,13,12,8,8,3,11
462,48,26,42,13,12,7,9,3,12
463,50,29,35,12,12,3,9,7,12
464,49,30,40,13,12,3,3,7,10
465,47,29,38,14,12,7,10,7,10
466,50,23,41,12,13,3,8,8,12
467,50,24,39,13,14,3,7,3,13
468,48,26,41,12,13,3,9,8,12
469,50,27,39,13,14,3,9,3,11
470,46,29,41,12,12,3,9,7,12
471,48,29,36,13,12,3,10,8,11
472,53,27,38,13,11,3,3,8,11
473,47,25,42,14,12,3,8,8,12
474,46,26,39,13,14,3,9,9,12
475,48,29,39,12,11,3,8,8,13
476,51,25,39,14,11,8,9,8,11
477,51,26,39,11,12,7,9,9,9
478,48,31,37,12,13,3,8,8,11
479,49,24,45,12,11,3,8,7,12
480,46,26,40,13,15,3,8,8,11
481,51,27,40,12,12,3,8,3,12
482,48,30,39,13,11,3,8,7,12
483,45,29,41,13,11,3,9,3,12
484,51,26,36,15,12,3,9,8,11
485,49,28,38,12,11,8,9,8,11
486,49,29,42,13,8,3,7,3,13
487,45,28,44,13,12,3,8,3,13
488,48,28,41,13,12,3,7,7,13
489,48,28,39,13,12,3,8,3,12
490,47,30,38,12,14,3,8,3,12
491,47,26,40,13,14,3,9,7,11
492,50,31,37,12,11,3,3,3,12
493,53,27,40,13,9,3,9,3,11
494,50,27,42,12,13,3,3,3,12
495,49,29,37,14,12,3,9,8,11
496,49,26,38,13,14,3,8,8,11
497,47,27,41,13,12,3,8,3,13
498,45,26,42,13,14,3,8,8,12
499,48,23,39,13,15,3,8,9,12
500,48,29,38,12,13,3,9,8,12
501,48,29,40,11,13,3,8,8,10
502,50,24,38,12,15,3,8,3,13
503,53,28,37,13,13,3,8,3,10
504,51,26,39,12,13,3,3,8,13
505,50,26,43,12,12,3,3,8,11
506,54,25,38,12,14,3,7,3,12
507,49,30,35,12,12,7,8,8,11
508,51,26,38,12,13,8,8,8,11
509,46,25,44,12,13,8,9,8,11
510,49,30,38,13,12,3,8,3,12
511,49,29,39,12,12,3,8,9,11
512,47,28,39,13,14,3,9,8,10
513,49,26,42,12,14,3,3,3,11
514,47,26,43,11,14,3,8,7,12
515,49,31,36,13,12,3,7,8,11
516,46,31,39,13,10,3,9,8,12
517,48,29,38,13,15,3,8,3,10
518,52,25,38,13,14,3,9,3,12
519,50,31,39,12,11,3,8,3,11
520,50,28,39,13,13,3,8,7,12
521,51,25,40,12,15,3,7,7,12
522,47,24,42,12,12,3,9,8,14
523,44,27,44,13,13,3,3,7,12
524,46,28,42,12,13,3,8,8,12
525,50,28,39,13,12,3,9,3,12
526,51,30,37,14,9,3,7,8,11
527,50,29,37,12,12,3,9,7,12
528,49,25,39,14,14,3,9,8,11
529,48,27,39,15,10,8,10,8,12
530,45,28,39,14,14,3,8,8,12
531,49,25,40,13,14,3,8,8,12
532,46,31,39,11,12,3,8,8,13
533,49,28,38,13,11,3,8,3,12
534,49,29,37,12,10,8,8,8,12
535,51,26,42,11,12,3,7,8,11
536,49,26,41,12,12,7,8,8,12
537,50,28,38,13,11,3,8,8,12
538,50,26,43,12,11,3,8,3,12
539,50,29,40,12,9,3,9,3,11
540,47,28,37,14,12,8,8,8,12
541,46,27,42,13,12,3,7,8,12
542,46,32,39,12,12,3,8,8,12
543,48,27,40,13,14,3,8,7,11
544,51,26,36,13,14,3,8,7,12
545,50,26,41,13,12,3,7,7,11
546,52,29,40,12,10,3,3,3,11
547,50,27,41,12,11,3,8,7,11
548,46,29,39,12,15,3,8,8,12
549,54,26,37,12,15,2,3,3,11
550,51,25,40,13,13,3,8,3,11
551,52,23,38,13,14,8,8,7,10
552,47,29,37,13,12,3,9,8,12
553,47,28,40,12,15,3,8,3,11
554,48,31,38,11,12,3,8,8,13
555,52,28,35,14,12,3,8,8,12
556,49,25,41,12,14,3,8,7,11
557,49,25,39,14,13,3,8,8,12
558,49,28,39,12,13,3,3,8,12
559,48,26,40,14,13,3,8,3,12
560,52,27,39,13,11,3,8,8,11
561,48,25,37,13,17,3,10,3,13
562,51,26,41,13,13,3,3,8,11
563,52,28,36,11,16,3,8,3,12
564,47,26,40,13,12,8,10,8,12
565,50,28,38,12,12,3,9,3,11
566,49,26,37,13,13,3,8,8,12
567,50,28,38,13,13,3,8,3,12
568,49,29,38,13,14,3,8,3,10
569,47,29,37,13,12,7,9,9,11
570,47,26,41,13,12,8,8,8,12
571,46,29,40,14,11,3,8,8,12
572,53,27,39,11,12,3,8,7,11
573,51,24,42,12,14,3,8,7,12
574,48,26,41,13,12,8,9,8,11
575,46,28,40,12,13,3,8,8,12
576,46,27,40,13,13,3,8,9,13
577,49,24,40,12,16,3,8,3,12
578,53,28,37,12,12,2,3,8,13
579,45,29,40,12,14,7,8,8,12
580,53,26,35,11,16,3,8,3,12
581,49,24,41,13,13,3,8,8,13
582,52,25,42,12,12,3,8,7,10
583,46,29,40,13,13,3,8,8,11
584,47,30,40,12,10,3,9,8,11
585,48,29,37,13,13,3,8,8,12
586,48,27,40,12,14,3,8,8,12
587,48,28,39,13,13,3,9,7,11
588,48,29,38,12,12,3,8,8,12
589,50,29,35,12,14,3,8,9,11
590,51,29,39,13,11,3,7,3,11
591,51,29,39,11,12,3,8,7,11
592,50,29,40,12,10,3,8,7,11
593,53,25,39,14,11,3,7,7,12
594,51,29,38,14,9,3,8,3,11
595,48,29,39,12,12,3,3,8,12
596,47,27,41,12,12,7,9,8,11
597,50,27,37,14,12,3,7,8,12
598,52,23,40,13,12,3,8,8,12
599,52,24,37,13,16,8,9,3,11
600,41,32,40,13,13,3,9,7,12
601,50,28,38,13,14,2,8,3,12
602,47,27,38,14,14,8,9,8,13
603,54,23,38,12,14,3,9,8,10
604,46,29,40,12,11,3,10,8,12
605,53,27,37,14,10,3,8,3,12
606,47,29,38,13,10,8,9,8,11
607,50,28,41,11,11,3,8,3,12
608,49,26,41,12,15,3,8,3,11
609,50,25,40,13,13,3,8,8,12
610,53,26,40,12,12,3,7,8,11
611,44,28,40,13,12,8,8,8,13
612,51,33,38,11,11,3,3,3,10
613,47,26,39,14,13,3,8,7,13
614,51,25,41,12,11,3,8,9,12
615,46,29,39,13,13,3,8,7,12
616,49,28,35,12,15,3,9,3,12
617,50,27,40,12,13,3,8,8,12
618,50,28,36,13,12,3,8,3,12
619,51,31,41,13,8,3,3,8,9
620,49,26,39,14,14,3,8,8,13
621,46,26,41,14,12,8,8,8,12
622,50,31,36,12,13,3,8,3,12
623,48,29,40,12,11,3,9,3,12
624,52,27,43,12,10,3,3,8,10
625,55,25,38,11,12,3,8,8,10
626,49,26,43,12,15,3,8,3,12
627,46,27,41,12,14,3,9,3,13
628,45,28,42,13,13,3,7,7,11
629,45,25,45,13,11,3,8,8,11
630,49,27,40,12,13,3,8,7,12
631,48,25,41,12,13,8,8,8,11
632,48,26,38,13,15,3,8,3,13
633,46,29,39,12,16,3,3,3,12
634,48,28,39,14,11,3,8,8,12
635,49,29,39,13,13,3,7,7,12
636,53,27,35,12,11,8,8,7,12
637,47,28,40,12,13,8,7,8,11
638,45,30,39,12,11,3,8,9,12
639,48,30,39,11,12,3,7,7,11
640,48,25,42,13,14,3,8,7,12
641,48,30,38,12,12,3,8,7,12
642,54,27,40,13,9,7,8,3,10
643,52,31,37,13,10,3,8,7,11
644,47,30,36,14,13,3,8,8,12
645,53,23,38,12,14,3,8,8,11
646,49,25,38,13,14,3,8,8,12
647,49,29,37,14,10,3,8,8,12
648,43,30,40,14,12,3,9,9,11
649,50,28,37,12,14,7,9,3,11
650,51,23,40,13,13,3,7,7,14
651,47,31,36,13,14,3,8,7,11
652,51,23,41,12,13,3,9,3,12
653,49,28,38,12,13,3,9,7,11
654,52,26,40,12,10,3,9,8,12
655,46,26,39,14,14,3,8,9,12
656,52,25,38,12,16,3,8,3,12
657,47,27,41,13,10,8,8,8,11
658,53,26,38,11,13,8,8,8,11
659,49,29,41,12,9,3,8,8,10
660,52,23,40,12,13,3,8,8,11
661,51,28,36,12,12,8,9,8,11
662,48,27,40,12,13,3,7,3,13
663,51,29,38,12,12,3,8,8,11
664,49,25,39,13,13,3,10,8,10
665,49,29,37,13,12,3,10,7,12
666,47,28,39,14,13,3,8,8,12
667,48,30,38,13,13,3,8,3,12
